,AngelFish,BlueTang,ButterflyFish,ClownFish,GoldFish,Gourami,MorishIdol,PlatyFish,RibbonedSweetlips,ThreeStripedDamselfish,YellowCichlid,YellowTang,ZebraFish,Lionfish
AngelFish,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BlueTang,0,20,0,0,0,0,0,0,0,0,0,0,0,0
ButterflyFish,0,0,20,0,0,0,0,0,0,0,0,0,0,0
ClownFish,0,0,0,31,0,0,0,0,0,0,0,0,0,0
GoldFish,0,0,0,0,113,0,0,0,0,0,0,0,0,0
Gourami,0,0,0,0,0,207,0,0,0,0,0,0,0,0
MorishIdol,0,0,0,0,0,0,26,0,0,0,0,0,0,0
PlatyFish,0,0,0,0,0,1,0,64,0,0,0,0,0,0
RibbonedSweetlips,1,0,0,0,0,0,0,0,46,0,0,0,0,0
ThreeStripedDamselfish,0,0,0,0,0,0,0,0,0,23,0,0,0,0
YellowCichlid,0,0,0,0,0,0,0,0,0,0,30,0,0,0
YellowTang,0,0,0,0,0,0,0,0,0,0,0,57,0,0
ZebraFish,0,0,0,0,0,0,0,0,0,0,0,0,256,0
Lionfish,0,0,0,0,0,0,0,0,0,0,0,0,0,137
